No,ARO,Municipio,Ubicación,No. filtros ,Poblacion,Objeto,Tipo de filtro, Comunidad,Enfoque Diferencial,Lugar de entrega,COD. SISA,Fecha de entrega ,Año,Equipo,Responsable 
51,CALI,DAGUA ,Trapiche,2,12,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Camilo Torres –Sede María Montessori,141505,8/08/2024,2024,SACYR,Cristian Amaris - Principal
52,CALI,DAGUA ,Loboguerrero,25,414,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Camilo Torres – Sede principal ,141517,8/08/2024,2024,SACYR,Cristian Amaris - Principal
53,TULUA,YOTOCO,Puente Tierra,5,276,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral,141283,15/08/2024,2024,SACYR,Roger Donado - ARO Tulua 
54,CALI,DAGUA ,El Naranjo,4,180,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa San Pedro Clavel Sede Principal,141256,23/08/2024,2024,SACYR,Diego Sanchez -  ARO Cali 
55,TULUA,YOTOCO,Muñecos,2,19,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Santo Tomas de Aquino,141284,2024,2024,SACYR,Roger Donado - ARO Tulua 
56,TULUA,YOTOCO,El Bosque ,2,65,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa San Juan Bosco - Sede Diego Renato Salazar,138485,2024,2024,SACYR,Roger Donado - ARO Tulua 
57,TULUA,YOTOCO,Buenos Aires ,1,7,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Camilo Torres,141302,2024,2024,SACYR,Roger Donado - ARO Tulua 
58,TULUA,YOTOCO,Colorados ,1,9,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Manuela Beltrán,141304,2024,2024,SACYR,Roger Donado - ARO Tulua 
59,TULUA,YOTOCO,Cordobitas ,1,12,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede José María Cordoba,141282,2024,2024,SACYR,Roger Donado - ARO Tulua 
60,TULUA,YOTOCO,El Caney,1,,Institucion Educativa ,EKOFIL,Estudiantes,NA,Institución Educativa Gabriela Mistral sede Nuestra Señora de Fatima,141459,18/10/2024,2024,SACYR,Roger Donado - ARO Tulua 
61,TULUA,YOTOCO,Delirio ,1,15,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa San Juan Bosco - Sede Carlos Alfonso Gil,141381,2024,2024,SACYR,Roger Donado - ARO Tulua 
62,TULUA,YOTOCO,Jiguales,3,23,Institucion Educativa ,EKOFIL,Estudiantes ,NA,Institución Educativa Gabriela Mistral sede Vicente H. Cruz,138454,22/08/2024,2024,SACYR,Roger Donado - ARO Tulua 
63,CALI,BUENAVENTURA,Umanes Mar ,1,168,Institucion Educativa ,LIFESTRAW,Estudiantes ,Consejo Comunitario,Institución Educativa Gabriela Mistral sede San Martin,,14/08/2024,2024,FGA,Alejandra Restrepo - FGA
64,CALI,BUENAVENTURA,San Jose De Anchicaya,1,76,Institucion Educativa ,LIFESTRAW,Estudiantes ,Consejo Comunitario,I.E. Silvano Caicedo Giron ,,14/08/2024,2024,FGA,Alejandra Restrepo - FGA
65,CALI,GUACARI,Pomares ,28,112,Vivienda,EKOFIL,Campesinos ,Desplazos por violencia ,Casa Comunal ,,23/08/2024,2024,FGA,Oscar Montoya - Celsia
66,TULUA,SAN PEDRO,Buenos Aires ,55,220,Vivienda,EKOFIL,Campesinos ,NA,Coliseo del corregimiento ,,24/08/2024,2024,FGA,Oscar Montoya - Celsia
67,CALI,EL CERRITO,Albecia,35,118,Vivienda,EKOFIL,Campesinos,NA,I.E. Herando Borrero Cuadros sede Mercedes Abrego,,27/08/2024,2024,UES,Cristian Amaris - Principal
68,CARTAGO,VERSALLES,Campo Alegre,1,35,Institucion Educativa ,LIFESTRAW,Estudiantes,Cabildo indigena ,I.E. La Inmalucada sede Simos Bolivar ,,9/03/2024,2024,UES,Cristian Amaris - Principal
69,CALI,DAGUA ,Cisneros,4,90,Institucion Educativa ,EKOFIL,Estudiantes ,Consejo Comunitario,Institución Educativa San Pedro Claver - Genral Carlos Alban,141263,23/08/2024,2024,SACYR,Diego Sanchez -  ARO Cali 
70,CARTAGO,EL AGUILA,Villa Nueva,1,126,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Jose Maria Cordoba ,,18/09/2024,2024,FGA,Yustin Valencia - Celsia
71,CARTAGO,EL AGUILA,San Jose Cordoba,1,66,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Santa Isabel ,,18/09/2024,2024,FGA,Yustin Valencia - Celsia
72,CALI,GINEBRA,Portugal Bajo ,17,59,Vivienda,EKOFIL,Campesinos ,Desplazos por violencia ,Casa Lider,,19/09/2024,2024,UES,Cristian Amaris - Principal
73,TULUA,ANDALUCIA,Peñon Alto ,31,124,Vivienda,EKOFIL,Campesinos,,,,2024,2024,FGA,Yustin Valencia - Celsia
74,TULUA,BUGALAGRANDE,San Isidro,32,128,Vivienda,EKOFIL,Campesinos,,,,2024,2024,FGA,Yustin Valencia - Celsia
75,TULUA,RIOFRIO,La Zulia,1,105,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Camilo Torres,,23/09/2024,2024,FGA,Oscar Montoya - Celsia
76,TULUA,RIOFRIO,Fenicia ,1,116,Institucion Educativa ,LIFESTRAW,Estudiantes ,NA,Institucion Educativa Nemesio Rodriguez sede Las Amaericas,,23/09/2024,2024,FGA,Oscar Montoya - Celsia
77,CARTAGO,LA UNION,Despensitas - Jardin Ojedas - Paramillo,29,93,Vivienda,EKOFIL,Campesinos,NA,Institucion Educativa ,,10/04/2024,2024,UES,Marco Gonzales - ARO Cartago
78,CARTAGO,OBANDO,Buenos Aires ,32,96,Vivienda,EKOFIL,Campesinos,,,,18/10/2024,2024,UES,Ana Mendez - ARO Cartago
79,CARTAGO,EL CAIRO,La Miranda - La Guardia,35,97,Vivienda,EKOFIL,Campesinos,,,,17/10/2024,2024,UES,Edward Jaimes - ARO Cartago
80,CARTAGO,EL DOVIO,Alto Miranda,11,39,Vivienda,EKOFIL,Campesinos,,,,19/10/2024,2024,UES,Marco Gonzales - ARO Cartago
81,CARTAGO,EL AGUILA,La Judea,56,148,Vivienda,EKOFIL,Campesinos,NA,Casa Comunal,,10/11/2024,2024,UES,Sair Renteria - ARO Cartago
82,CALI,BUENAVENTURA,Umanes Mar - San Jose Anchicaya,250,855,Vivienda,EKOFIL,Consejo comunitario ,Concejo Comunitario,Institucion Educativa,,22/10/2024,2024,FGA,Jane Carolina - Celsia
83,CALI,BUENAVENTURA,Barrio El Futuro,50,176,Vivienda,EKOFIL,Consejo comunitario ,Comunidad Afro - JAC ,Casa Comunal ,,19/11/2024,2024,FGA,Lucrecia Vargas - Celsia
84,TULUA,CALIMA,Gaviota Alta ,29,88,Vivienda,EKOFIL,Campesinos,NA,,,26/11/2024,2024,FGA,Jimena Lizarazo - Celsia
